Age;Over18;Education;EducationField;Gender;MaritalStatus;cpf_11
41.0;Y;2.0;Life Sciences;Female;Single;55565489601
49.0;Y;1.0;Life Sciences;Male;Married;01389891259
37.0;Y;2.0;Other;Male;Single;10292222823
33.0;Y;4.0;Life Sciences;Female;Married;25092685204
27.0;Y;1.0;Medical;Male;Married;45025235189
32.0;Y;2.0;Life Sciences;Male;Single;60305550900
59.0;Y;3.0;Medical;Female;Married;12545937215
30.0;Y;1.0;Life Sciences;Male;Divorced;04975821044
38.0;Y;3.0;Life Sciences;Male;Single;95238767919
36.0;Y;3.0;Medical;Male;Married;07837391845
35.0;Y;3.0;Medical;Male;Married;18023279246
29.0;Y;2.0;Life Sciences;Female;Single;78884840422
31.0;Y;1.0;Life Sciences;Male;Divorced;59328674425
34.0;Y;2.0;Medical;Male;Divorced;87717986507
28.0;Y;3.0;Life Sciences;Male;Single;20746642490
29.0;Y;4.0;Life Sciences;Female;Divorced;71446416461
32.0;Y;2.0;Life Sciences;Male;Divorced;34960234814
22.0;Y;2.0;Medical;Male;Divorced;17795779662
53.0;Y;4.0;Life Sciences;Female;Married;14239625750
38.0;Y;3.0;Life Sciences;Male;Single;47011189319
24.0;Y;2.0;Other;Female;Divorced;47650183505
36.0;Y;4.0;Life Sciences;Male;Single;10647594242
34.0;Y;4.0;Life Sciences;Female;Single;61852573945
21.0;Y;2.0;Life Sciences;Male;Single;14533216595
34.0;Y;1.0;Medical;Male;Single;80498008304
53.0;Y;3.0;Other;Female;Divorced;62137309076
32.0;Y;1.0;Life Sciences;Female;Single;24262123812
42.0;Y;4.0;Marketing;Male;Married;67220416202
44.0;Y;4.0;Medical;Female;Married;16571088053
46.0;Y;4.0;Marketing;Female;Single;01264765606
33.0;Y;3.0;Medical;Male;Single;61340329212
44.0;Y;4.0;Other;Male;Married;70781543207
30.0;Y;2.0;Medical;Male;Single;26014275312
39.0;Y;3.0;Technical Degree;Male;Married;55782154918
24.0;Y;3.0;Medical;Male;Married;27250918451
43.0;Y;2.0;Medical;Female;Divorced;68359241015
50.0;Y;2.0;Marketing;Male;Married;89772565501
35.0;Y;3.0;Marketing;Female;Married;31335391592
